Date,Apple,Amazon,IBM
6/26/2012,73.81146113,225.61,167.0543851
6/27/2012,74.13082369,225.62,167.9682018
6/28/2012,73.42758089,221.31,166.5757193
6/29/2012,75.35665977,228.35,170.2135798
7/2/2012,76.45604117,229.32,170.4311552
7/3/2012,77.34509491,229.53,170.5181853
7/5/2012,78.70383743,227.06,169.9611923
7/6/2012,78.1799538,225.05,166.5844223
7/9/2012,79.21352716,225.05,165.0700975
7/10/2012,78.48060623,219.5,162.1023692
7/11/2012,77.9928525,218.37,161.2233646
7/12/2012,77.27928687,215.36,159.3435133
7/13/2012,78.06253161,218.39,161.8847938
7/16/2012,78.31286024,216.01,160.8230259
7/17/2012,78.3167313,216.93,159.8308821
7/18/2012,78.22898724,217.47,163.8342693
7/19/2012,79.26901238,226.17,170.0047074
7/20/2012,77.9760779,228.29,167.4895359
7/23/2012,77.91543128,226.01,166.0796474
7/24/2012,77.53993833,223.04,165.6531996
7/25/2012,74.19147032,217.05,166.2972228
7/26/2012,74.17985713,220.01,168.7949882
7/27/2012,75.5063408,237.32,170.9185241
7/30/2012,76.77991997,236.09,171.1709115
7/31/2012,78.80964644,233.3,170.5617004
8/1/2012,78.2999567,232.09,169.8654592
8/2/2012,78.42641137,230.81,169.230139
8/3/2012,79.44708119,234.97,172.7722664
8/6/2012,80.33097352,233.99,172.9811388
8/7/2012,80.11987165,236.56,173.9993916
8/8/2012,79.98386836,234.38,173.9558765
8/9/2012,80.43807288,234.06,173.4227253
8/10/2012,80.56377155,232.75,174.1831213
8/13/2012,81.63933742,232.44,173.9383961
8/14/2012,81.85833818,233.19,173.3091029
8/15/2012,81.74689401,237.42,173.4052449
8/16/2012,82.46091424,241.55,175.5378498
8/17/2012,83.98614441,241.17,175.8699767
8/20/2012,86.1942941,240.35,175.2406835
8/21/2012,85.01661426,239.45,173.6237495
8/22/2012,86.67635495,243.1,172.4001238
8/23/2012,85.86773675,241.198,171.0453953
8/24/2012,85.94445181,245.74,172.8546134
8/27/2012,87.55883731,243.92,171.0366552
8/28/2012,87.44480142,246.11,170.3199601
8/29/2012,87.27193336,247.12,170.5035039
8/30/2012,86.02816453,246.22,169.0089325
8/31/2012,86.20595687,248.27,170.3024797
9/4/2012,87.46683108,247.88,170.031534
9/5/2012,86.85259225,246.22,170.4685432
9/6/2012,87.6352932,251.38,174.0170578
9/7/2012,88.17566786,259.14,174.3666651
9/10/2012,85.88199124,257.09,175.6339918
9/11/2012,85.6033808,255.67,177.6617144
9/12/2012,86.7955743,255.63,178.0987236
9/13/2012,88.50481694,260.24,180.3624312
9/14/2012,89.58038281,261.27,180.7557394
9/17/2012,90.68199552,258,181.0529057
9/18/2012,90.95788465,258.75,180.9829842
9/19/2012,90.98250604,261.68,180.4236125
9/20/2012,90.54191279,260.81,180.2051079
9/21/2012,90.72268561,257.47,180.0303042
9/24/2012,89.51688555,254.805,179.4272315
9/25/2012,87.28152274,252.46,179.1562858
9/26/2012,86.19818169,249.67,178.2997478
9/27/2012,88.28970376,256.59,179.9691229
9/28/2012,86.44763522,254.32,181.3151112
10/1/2012,85.4478773,252.01,183.9546467
10/2/2012,85.6966829,250.6,183.4040151
10/3/2012,87.01068748,255.92,183.9896074
10/4/2012,86.40811142,260.47,183.8847252
10/5/2012,84.56669081,258.51,184.0595289
10/8/2012,82.69805708,259.06,183.3865347
10/9/2012,82.39741698,250.96,181.7870811
10/10/2012,83.05312341,244.99,179.8904613
10/11/2012,81.39312355,244.22,179.8380202
10/12/2012,81.60227575,242.36,181.6210176
10/15/2012,82.25616797,244.18,182.6086584
10/16/2012,84.20417327,243.94,184.4178764
10/17/2012,83.53305904,247.49,175.3543059
10/18/2012,81.98144512,244.85,170.3986217
10/19/2012,79.02687862,240,169.0001923
10/22/2012,82.16157001,233.78,169.9091715
10/23/2012,79.48242613,234.31,167.1560136
10/24/2012,79.93268651,228.49,166.6927838
10/25/2012,78.98774358,222.92,167.46192
10/26/2012,78.27009492,238.24,168.9215307
10/31/2012,77.14528628,232.8931,170.0227938
11/1/2012,77.30336854,232.14,172.312722
11/2/2012,74.74534893,232.4224,169.0613736
11/5/2012,75.75885595,234.33,169.6819267
